Entity,Code,date,O3
承德,承德,20200612,98.45833333333333
承德,承德,20200613,80.83333333333333
承德,承德,20200614,69.29166666666667
承德,承德,20200615,56.625
承德,承德,20200616,112.375
承德,承德,20200617,123.75
承德,承德,20200618,110.08333333333333
承德,承德,20200619,115.58333333333333
承德,承德,20200620,143.45833333333334
承德,承德,20200621,173.875
承德,承德,20200622,173.91666666666666
承德,承德,20200623,115.5
承德,承德,20200624,118.83333333333333
承德,承德,20200625,97.70833333333333
承德,承德,20200626,87.08333333333333
承德,承德,20200627,87.29166666666667
承德,承德,20200628,86.29166666666667
承德,承德,20200629,65.625
承德,承德,20200630,93.20833333333333
承德,承德,20200701,84.58333333333333
承德,承德,20200702,73.0
承德,承德,20200703,49.95652173913044
承德,承德,20200704,71.25
承德,承德,20200705,74.45833333333333
承德,承德,20200706,61.625
